地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
湖下３８０之２號,,109/10/22,1600,0,71.02,,透天厝,,全/四層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳4衛,,無,有,住家用,建物第一次登記後移轉 土地8800000元，建物7200000元，電梯現況尚未安裝。
湖下３８０之７號,,109/10/22,1600,0,71.02,,透天厝,,全/四層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳4衛,,無,有,住家用,"建物第一次登記後移轉 土地8,800,000元，建物7,200,000元，電梯現況尚未安裝。"
湖下３８０之１５號,,109/10/22,1600,0,70.75,,透天厝,,全/四層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳4衛,,無,有,住家用,建物第一次登記後移轉 土地8800000元，建物7200000元，電梯現況尚未安裝。
湖下３８０之６號,,109/10/22,1600,0,71.96,,透天厝,,全/四層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳4衛,,無,有,住家用,"建物第一次登記後移轉 電梯現況尚未安裝，土地8,800,000元，建物7,200,000元。預售屋、或土地及建物分件登記案件;"
湖下３８０之１２號,,109/10/22,1600,0,71.56,,透天厝,,全/四層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳4衛,,無,有,住家用,建物第一次登記後移轉 電梯現況尚未安裝預售屋、或土地及建物分件登記案件;
湖下３８０之１７號三樓,,109/10/22,500,26.5,18.89,74.83%,華廈(10層含以下有電梯),,三層/四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,無,有,住家用,"建物第一次登記後移轉 土地2,750,000元，建物2,250,000元，電梯現況尚未安裝。"
西堡３９之９號二樓,,109/10/21,480,17.4,27.63,79.56%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
下埔下４１之１號,,109/10/19,720,23.2,30.99,80.36%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
頂堡２５５號三樓,,109/10/17,603,17.1,35.34,77.79%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物),土:2 建:2車:0,2房2廳2衛,,無,無,住家用,
頂堡３００號三樓,,109/10/13,630,17.5,35.95,71.11%,公寓(5樓含以下無電梯),4,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
安岐４２之６號二樓,,109/10/13,462,17.4,26.51,78.57%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１７號三樓,,109/10/06,710,20.3,35.05,81.22%,公寓(5樓含以下無電梯),2,"三層,見其他登記事項/三層",房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,
西堡３９之１１號三樓,,109/09/30,368,18.8,19.52,77.32%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,建物第一次登記後移轉
下堡１２５號二樓,,109/09/30,520,19.7,26.34,85.08%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
安岐４２之６號,,109/09/30,465,17.5,26.51,78.57%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下后垵５９號２樓,,109/09/29,715,18.6,38.4,80.42%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
嚨口３６號三樓,,109/09/26,525,18.7,28.03,81.94%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖下２５３號三樓,,109/09/25,700,19.9,35.16,83.49%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房1廳2衛,,有,有,住家用,建物第一次登記後移轉
湖下２５５號四樓,,109/09/25,725,20.5,35.38,83.59%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房1廳3衛,,有,有,住家用,建物第一次登記後移轉
嚨口３５號三樓,,109/09/23,525,18.7,28.03,81.94%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
前厝２５號,,109/09/22,200,0,54.31,,透天厝,27,全/三層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
桃園路２１６號,,109/09/17,1450,0,52.67,,透天厝,4,全/三層,房地(土地+建物),土:2 建:1車:0,4房1廳4衛,,無,無,住家用,
安岐７７之１號二樓,,109/09/16,550,18.3,30.08,78.01%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,無,無,住家用,含傢俱設備費;
東坑２３之１號,,109/09/15,790,21.4,36.91,83.17%,公寓(5樓含以下無電梯),5,一層/三層,房地(土地+建物),土:2 建:2車:0,3房2廳2衛,,無,無,住家用,
湖南３１１號,,109/09/15,1220,0,65.44,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１２號,,109/09/15,1150,0,64.52,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１３號,,109/09/15,1150,0,64.52,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１０之２號２樓,,109/09/15,650,19.1,34.1,78.36%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之３號２樓,,109/09/15,630,18.5,34.1,78.36%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之３號,,109/09/15,750,22,34.1,78.36%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之２號４樓,,109/09/15,670,19.6,34.1,78.36%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３２０號,,109/09/15,1050,0,65.44,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３２１號,,109/09/15,1050,0,64.52,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１７號,,109/09/15,1220,0,64.52,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１０之２號３樓,,109/09/15,620,18.2,34.1,78.36%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之２號５樓,,109/09/15,750,22,34.1,78.36%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之３號３樓,,109/09/15,617,18.1,34.1,78.36%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之３號４樓,,109/09/15,670,19.6,34.1,78.36%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之３號５樓,,109/09/15,730,21.4,34.1,78.36%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１８號,,109/09/15,1330,0,64.52,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１９號,,109/09/15,1330,0,65.44,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
湖南３１０號,,109/09/15,650,19.1,34.1,78.36%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０號３樓,,109/09/15,613.4,18,34.1,78.36%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０號５樓,,109/09/15,728,21.4,34.1,78.36%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０號２樓,,109/09/15,700,20.5,34.1,78.36%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之１號４樓,,109/09/15,660,19.4,34.1,78.36%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之１號２樓,,109/09/15,660,19.4,34.1,78.36%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０號４樓,,109/09/15,655,19.2,34.1,78.36%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
湖南３１０之１號３樓,,109/09/15,600,17.6,34.1,78.36%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,"建物第一次登記後移轉 建物價格：4,474,338元、土地價格：1,525,662元"
湖南３１０之２號,,109/09/15,700,20.5,34.1,78.36%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
嚨口３６號二樓,,109/09/10,455,16.2,28.03,81.94%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
嚨口３５號二樓,,109/09/08,468,16.7,28.03,81.96%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之１０號三樓,,109/09/08,670,15.8,42.36,70.77%,公寓(5樓含以下無電梯),7,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,無,住家用,
下后垵５９號３樓,,109/09/01,730,19,38.4,80.42%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
西浦頭１０６號,,109/09/01,525,0,38.83,,透天厝,24,全/二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
嚨口３５號,,109/08/31,480,18.7,25.74,89.25%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
環島西路二段９０１巷１弄３８號二樓,,109/08/25,528,15.2,34.74,75.59%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:2車:0,3房1廳4衛,,無,無,住家用,
安岐３４５號三樓,,109/08/25,535,15.4,34.83,80.40%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
安岐３４５號四樓,,109/08/25,560,16.1,34.83,80.40%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
湖下４３之５號,,109/08/14,415,24.7,16.81,92.01%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,
頂堡２５２號二樓,,109/08/14,585,19.7,29.75,86.54%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
頂埔下２１之５號二樓,,109/08/13,600,17.9,33.43,76.64%,公寓(5樓含以下無電梯),3,二層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,無,無,住家用,
下埔下６之５號,,109/08/12,430,28.3,15.2,89.27%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
西浦頭７５之５號二樓,,109/08/12,430,14.8,29.08,82.75%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;
西浦頭７５之６號二樓,,109/08/12,430,14.8,29.08,82.75%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;
安岐２３６之３號２樓,,109/08/10,380,17.6,21.63,74.07%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,建物第一次登記後移轉
下埔下１１９號四樓,,109/08/07,590,21.8,27.05,79.28%,公寓(5樓含以下無電梯),2,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
西山１８號,,109/08/06,418,16.5,25.38,77.93%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
嚨口３６號,,109/08/01,480,18.7,25.74,89.25%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２９０號三樓,,109/07/28,410,18.3,22.46,80.47%,公寓(5樓含以下無電梯),2,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
前厝４６之９號二樓,,109/07/28,635,12.7,50.07,64.27%,公寓(5樓含以下無電梯),3,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用,
環島西路二段９０１巷１弄３８號三樓,,109/07/27,550,15.8,34.74,75.59%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:2車:0,3房1廳4衛,,無,無,住家用,
下堡１００之８號三樓,,109/07/23,790,17.7,44.55,71.48%,公寓(5樓含以下無電梯),7,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用,
安岐３４５號二樓,,109/07/22,540,15.5,34.83,80.40%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,合建案建商與地主間之交易;預售屋、或土地及建物分件登記案件;
安岐３４５號五樓,,109/07/22,570,16.4,34.83,80.40%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,合建案建商與地主間之交易;預售屋、或土地及建物分件登記案件;
安岐３４６號四樓,,109/07/22,560,16.1,34.83,80.40%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,合建案建商與地主間之交易;預售屋、或土地及建物分件登記案件;
安岐３４６號五樓,,109/07/22,580,16.7,34.83,80.40%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,合建案建商與地主間之交易;預售屋、或土地及建物分件登記案件;
安岐３４６號三樓,,109/07/22,570,16.4,34.83,80.40%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,合建案建商與地主間之交易;預售屋、或土地及建物分件登記案件;
西浦頭７５之６號三樓,,109/07/22,480,16.5,29.08,82.75%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;
安岐７７之１號三樓,,109/07/21,540,18,30.08,78.01%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,無,無,住家用,
安岐２３６之２號３樓,,109/07/17,385,18,21.38,74.03%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,建物第一次登記後移轉
東洲１２８號,,109/07/14,748,24.7,30.28,89.92%,公寓(5樓含以下無電梯),4,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
湖下４３之６號二樓,,109/07/10,625,21.5,29.09,86.19%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
西山１７號二樓,,109/07/07,455,15.9,28.56,75.13%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
下堡１００之２８號二樓之３,,109/07/05,205,24.1,8.49,79.34%,公寓(5樓含以下無電梯),6,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
西堡３９之１１號四樓,,109/07/03,350,17.9,19.52,77.32%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,建物第一次登記後移轉
西山１８號二樓,,109/07/02,445,16.3,27.37,72.27%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
西山１８號五樓,,109/07/02,450,16.4,27.41,72.17%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
仁愛新１０８號二樓,,109/07/01,720,19.9,36.12,87.84%,公寓(5樓含以下無電梯),10,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳3衛,,無,無,住家用,
埔邊３８號二樓,,109/06/30,770,23,33.52,83.39%,公寓(5樓含以下無電梯),7,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
頂堡２４６號,,109/06/29,425,19,22.42,85.38%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
安岐２３６之２號２樓,,109/06/19,380,17.8,21.38,74.03%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,建物第一次登記後移轉
下埔下６之１號,,109/06/19,1120,0,46.49,,透天厝,3,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳3衛,,無,無,住家用,
下埔下６之２號,,109/06/19,1120,0,46.54,,透天厝,3,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳3衛,,無,無,住家用,
下埔下６之３號,,109/06/19,400,26.4,15.15,89.26%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
下埔下６８之１號,,109/06/18,460,20.2,22.74,89.98%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
湖下４３之５號三樓,,109/06/18,395,21.8,18.11,85.42%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
湖下４３之５號二樓,,109/06/12,390,21.5,18.11,85.42%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
頂堡９７之５號三樓,,109/06/08,630,17.7,35.63,74.25%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
下后垵５９號,,109/06/05,730,19.4,37.58,80.47%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
安岐２３０號二樓,,109/06/04,600,21.7,27.7,87.89%,公寓(5樓含以下無電梯),3,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下后垵５８號２樓,,109/05/27,730,20,36.5,79.80%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
安岐２３６之１號５樓,,109/05/27,382.8,18.1,21.15,74.72%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,建物第一次登記後移轉
林湖路５１３號三樓,,109/05/25,750,23.8,31.47,79.49%,華廈(10層含以下有電梯),,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
埔後１９１號,,109/05/19,1130,0,49.68,,透天厝,9,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,無,無,住家用,
西浦頭７９之６號,,109/05/18,820,0,56.33,,透天厝,5,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
西堡３９之９號,,109/05/18,550,19.9,27.63,79.56%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉
仁愛新９５號,,109/05/15,1230,0,57.49,,透天厝,10,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,
湖下２１３之１０號三樓,,109/05/09,510,11.5,44.33,59.45%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,,無,無,住家用,
下堡１００之１５號,,109/05/08,195,20.4,9.57,64.88%,公寓(5樓含以下無電梯),6,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
環島西路二段９０１巷１弄３８號二樓,,109/05/05,550,15.8,34.74,75.59%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳4衛,,無,無,住家用,
頂堡２４７號,,109/04/27,438,19.5,22.42,85.38%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,含一號停車位之使用權
下堡１４９之８號,,109/04/23,320,0,89.69,,透天厝,2,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房1廳5衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
下堡１８８號,,109/04/22,800,25,32.05,78.77%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１８８號二樓,,109/04/22,725,22.6,32.05,78.77%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１８８號三樓　,,109/04/22,725,22.6,32.05,78.77%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１８８號四樓,,109/04/22,715,22.3,32.05,78.77%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１８８號五樓,,109/04/22,735,22.9,32.05,78.77%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１８８之１號二樓,,109/04/22,725,22.6,32.05,78.77%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１８８之１號,,109/04/22,800,25,32.05,78.77%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１８８之１號三樓,,109/04/22,725,22.6,32.05,78.77%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１８８之１號四樓,,109/04/22,715,22.3,32.05,78.77%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１８８之１號五樓,,109/04/22,735,22.9,32.05,78.77%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下埔下６之８號三樓,,109/04/20,415,24.8,16.7,80.89%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
下埔下６之９號三樓,,109/04/20,415,24.8,16.76,80.94%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
安岐２３６之１號,,109/04/17,375,19.2,19.48,81.11%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,
埔邊１２６號,,109/04/13,1100,0,49.75,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
仁愛新?６６之３號二樓,,109/04/08,450,23.8,18.93,85.81%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
環島西路二段９０１巷１弄３８號三樓,,109/04/06,550,15.8,34.74,75.59%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳4衛,,無,無,住家用,
西浦頭７９之１１號二樓,,109/03/31,380,16.7,22.77,84.23%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
下后垵５１號,,109/03/25,1150,0,51.29,,透天厝,6,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,
頂堡９７之３號,,109/03/23,760,20.5,37.01,75.25%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
頂堡９７之３號三樓,,109/03/23,730,19.7,37.01,75.25%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
頂堡９７之６號,,109/03/23,760,20.5,37.01,75.25%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
安岐１８８號,,109/03/23,1080,0,62.01,,透天厝,6,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
東洲７６之２號,,109/03/20,760,17.9,42.47,58.08%,華廈(10層含以下有電梯),5,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
