地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
安岐２３８之５號四樓,,111/10/01,630,19.3,32.69,78.56%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
安岐２３８之３號五樓,,111/10/01,598,17.4,34.34,78.14%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
下堡１００之２８號三樓,,111/09/30,205,21.3,9.62,81.85%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
安岐２３８之３號四樓,,111/09/30,580,16.9,34.34,78.14%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
下堡１２０之２號,,111/09/29,390,22.5,17.87,68.87%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,40,無,有,住家用,
安岐２３８之１號,,111/09/27,1138,0,64.64,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,有,無,住家用,建物第一次登記後移轉
安岐２３８之５號三樓,,111/09/23,618,18.9,32.69,78.56%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉
安岐２３８之５號二樓,,111/09/22,638,19.5,32.69,78.56%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉 土地價款：319萬元。 建物價款：319萬元。
安岐２３８之５號五樓,,111/09/22,646,19.8,32.69,78.56%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉 土地價款：323萬元。 建物價款：323萬元。
安岐２３８之３號,,111/09/22,655,20.9,31.29,85.56%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉 土地價款：328萬元。建物價款：327萬元。 法定停車位，編號第５號，車位１個。
安岐２３８之２號,,111/09/22,1138,0,64.64,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳5衛,,無,無,住家用,建物第一次登記後移轉 土地價款：569萬元。建物價款：569萬元。 法定停車位，編號第３號，停車位１個。
嚨口３５號二樓,,111/09/22,235,16.8,14.01,81.96%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
安岐２３８之３號二樓,,111/09/19,638,18.5,34.45,78.21%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉
頂堡３０１號,,111/09/18,620,15.7,39.38,77.38%,公寓(5樓含以下無電梯),6,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用,未登記建物;
湖下２２０之２５號,,111/09/15,1150,0,55.52,,透天厝,2,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,有,無,住家用,本買賣標的包含3號停車位之永久使用權。
下埔下３１０號,,111/09/08,1200,0,73.2,,透天厝,27,全/二層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,無,無,住家用,
西浦頭７５之６號,,111/09/02,535,20.4,26.23,89.68%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
瓊安路１３０６號五樓之２,,111/09/01,655,21.4,32.8,73.04%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,45,無,有,住家用,預售屋、或土地及建物分件登記案件;
下堡１００之２８號二樓之１,,111/08/29,175,23.8,7.34,78.15%,公寓(5樓含以下無電梯),8,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
湖南３２之１號,,111/08/27,1240,0,53.22,,透天厝,8,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
榜林３８之９號三樓,,111/08/22,220,25.4,8.65,79.01%,公寓(5樓含以下無電梯),9,三層/三層,房地(土地+建物),土:2 建:1車:0,1房0廳1衛,,無,無,住家用,
西堡５之６號五樓,,111/08/17,610,18.7,32.65,69.68%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
西堡５之６號四樓,,111/08/16,600,18.4,32.65,69.68%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
西堡５之６號三樓,,111/08/12,600,18.4,32.65,69.68%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
西堡５之６號二樓,,111/08/08,600,18.4,32.65,69.68%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
西山１７號四樓,,111/08/07,630,22.1,28.56,75.13%,華廈(10層含以下有電梯),2,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,有,住家用,
林湖路５０９號,,111/08/05,870,18.4,47.2,85.67%,華廈(10層含以下有電梯),2,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,預售屋、或土地及建物分件登記案件;
湖下２３之２號,,111/07/13,200,15.9,12.61,74.93%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:1 建:2車:0,1房1廳1衛,,無,無,住家用,買方除買賣價金外另負擔土地增值稅。
湖下２３之２號二樓,,111/07/13,200,15.1,13.25,71.32%,公寓(5樓含以下無電梯),3,二層/三層,房地(土地+建物),土:1 建:2車:0,1房1廳1衛,,無,無,住家用,買方除買賣價金外另負擔土地增值稅。
湖下５之６號三樓,,111/07/11,645,23.7,27.16,85.46%,公寓(5樓含以下無電梯),6,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
瓊安路１３０６號三樓之１,,111/07/08,600,20.6,29.17,73.86%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
下堡２２７號,,111/07/04,705,18.1,38.88,91.28%,公寓(5樓含以下無電梯),5,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
頂埔下８８號,,111/07/01,1150,0,50.79,,透天厝,10,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,
安岐２３０號二樓,,111/06/30,575,20.8,27.7,87.89%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
安岐２３０號三樓,,111/06/30,575,20.8,27.7,87.89%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
瓊安路１３０６號四樓之１,,111/06/29,645,20.6,33.48,73.86%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,45,無,有,住家用,預售屋、或土地及建物分件登記案件;
瓊安路１３０６號五樓之１,,111/06/29,670,21.4,33.48,73.86%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,45,無,有,住家用,預售屋、或土地及建物分件登記案件;
