總價(萬元),單價,總面積,主建物佔比,型態,管理組織,電梯,交易年份,土,建,車,房,廳,衛,樓別,樓高,地區
870.0,18.4,47.2,85.67%,華廈(10層含以下有電梯),有,有,111,1,1,0,3.0,2.0,2.0,"一層,地下一層",3,林湖路
200.0,15.9,12.61,74.93%,公寓(5樓含以下無電梯),無,無,111,1,2,0,1.0,1.0,1.0,一層,3,湖下
200.0,15.1,13.25,71.32%,公寓(5樓含以下無電梯),無,無,111,1,2,0,1.0,1.0,1.0,二層,3,湖下
645.0,23.7,27.16,85.46%,公寓(5樓含以下無電梯),有,無,111,1,1,0,3.0,2.0,2.0,三層,3,湖下
600.0,20.6,29.17,73.86%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,三層,5,瓊安路
705.0,18.1,38.88,91.28%,公寓(5樓含以下無電梯),無,無,111,1,1,0,2.0,1.0,2.0,"一層,地下一層",3,下堡
575.0,20.8,27.7,87.89%,公寓(5樓含以下無電梯),無,無,111,2,1,0,3.0,2.0,2.0,二層,3,安岐
575.0,20.8,27.7,87.89%,公寓(5樓含以下無電梯),無,無,111,2,1,0,3.0,2.0,2.0,三層,3,安岐
645.0,20.6,33.48,73.86%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,四層,5,瓊安路
670.0,21.4,33.48,73.86%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,五層,5,瓊安路
770.0,21.7,35.47,84.35%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,1.0,3.0,三層,3,頂埔下
810.0,22.0,36.84,77.74%,公寓(5樓含以下無電梯),有,無,111,1,2,0,3.0,2.0,2.0,三層,3,下埔下
230.0,24.1,9.54,73.33%,公寓(5樓含以下無電梯),無,無,111,4,1,0,,,,二層,3,埔邊
810.0,23.5,34.53,82.95%,公寓(5樓含以下無電梯),有,無,111,1,2,0,3.0,2.0,2.0,一層,3,下埔下
740.0,20.1,36.84,77.74%,公寓(5樓含以下無電梯),有,無,111,1,2,0,3.0,2.0,2.0,二層,3,下埔下
580.0,19.9,29.17,73.86%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,二層,5,瓊安路
950.0,22.1,43.03,57.44%,華廈(10層含以下有電梯),有,有,111,1,1,0,3.0,2.0,2.0,二層,3,東洲
500.0,16.4,30.45,62.87%,華廈(10層含以下有電梯),有,有,111,5,1,1,2.0,2.0,2.0,五層,5,頂堡
650.0,22.7,28.63,83.17%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,二層,3,東坑
575.0,24.5,23.48,75.24%,華廈(10層含以下有電梯),有,有,111,1,1,0,2.0,2.0,1.0,二層,5,湖下
370.0,18.9,19.58,92.60%,公寓(5樓含以下無電梯),無,無,111,1,1,0,4.0,0.0,4.0,三層,3,仁愛新
480.0,15.8,30.45,62.87%,華廈(10層含以下有電梯),有,有,111,5,1,1,2.0,2.0,2.0,三層,5,頂堡
570.0,26.4,21.56,81.12%,公寓(5樓含以下無電梯),無,無,111,1,1,0,2.0,2.0,1.0,一層,5,湖下
698.0,21.6,34.87,75.55%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,二層,5,瓊安路
620.0,23.1,26.79,85.04%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,1.0,2.0,三層,3,安岐
430.0,23.6,18.21,77.61%,華廈(10層含以下有電梯),有,有,111,2,1,0,2.0,1.0,1.0,一層,4,湖下
488.0,18.9,25.78,74.96%,華廈(10層含以下有電梯),無,有,111,5,1,1,2.0,1.0,2.0,二層,5,頂堡
620.0,20.2,32.8,73.04%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,四層,5,瓊安路
300.0,28.4,10.58,64.24%,華廈(10層含以下有電梯),有,有,111,1,1,0,1.0,1.0,1.0,三層,3,頂埔下
680.0,16.5,41.33,59.13%,華廈(10層含以下有電梯),有,有,111,5,1,1,3.0,2.0,2.0,二層,5,頂堡
240.0,28.3,8.49,79.34%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,二層,3,下堡
550.0,23.4,23.48,75.24%,華廈(10層含以下有電梯),有,有,111,1,1,0,2.0,2.0,1.0,四層,5,湖下
583.0,20.5,28.49,73.04%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,三層,5,瓊安路
570.0,26.2,21.77,81.10%,華廈(10層含以下有電梯),有,有,111,1,1,1,2.0,2.0,1.0,一層,5,湖下
625.0,20.5,30.56,75.55%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,四層,5,瓊安路
440.0,18.7,23.55,81.16%,公寓(5樓含以下無電梯),無,無,111,2,1,0,2.0,1.0,1.0,三層,3,頂埔下
560.0,15.7,35.61,69.01%,華廈(10層含以下有電梯),有,有,111,1,1,1,3.0,2.0,2.0,三層,5,中堡
