地段位置或門牌,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高,交易筆棟數,建物現況格局,管理組織,電梯,交易年份
頂埔下２９號二樓之１６,230.0,21.9,10.5,64.26%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,1房0廳1衛,有,有,112
榜林６之１８號四樓,830.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
榜林６之１７號二樓,895.0,25.2,35.48,75.70%,華廈(10層含以下有電梯),二層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
瓊安路１３０８號三樓,540.0,20.1,26.82,74.82%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房1廳2衛,無,有,112
榜林６之１５號三樓,828.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),三層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
湖下２１３之５號,850.0,20.6,41.29,63.82%,公寓(5樓含以下無電梯),一層/三層,土:2 建:1車:1,3房2廳2衛,有,無,112
頂埔下２３之５號三樓,230.0,24.7,9.32,75.24%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,1房1廳1衛,無,無,112
埔後３２之１號二樓之６,290.0,29.3,9.89,84.29%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,112
瓊安路１３００號三樓,680.0,22.3,30.56,75.55%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房2廳2衛,無,有,112
榜林６之１５號五樓,830.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),五層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
中堡１之７號二樓,645.0,23.5,27.47,75.52%,華廈(10層含以下有電梯),二層/五層,土:2 建:1車:0,3房1廳2衛,無,有,112
下堡１００之１３號,2000.0,30.4,65.88,65.07%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,4房0廳4衛,有,無,112
下堡１９３號三樓,260.0,23.5,11.07,80.22%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,112
嚨口３６號,565.0,22.0,25.74,89.25%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,112
榜林６之１７號三樓,895.0,25.2,35.48,75.70%,華廈(10層含以下有電梯),三層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
盤果路６９號二樓,910.0,24.3,37.44,73.70%,華廈(10層含以下有電梯),二層/四層,土:1 建:1車:0,3房2廳2衛,無,有,112
下堡１００之２９號三樓之１,175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,112
榜林６之１７號,886.0,25.0,35.48,75.70%,華廈(10層含以下有電梯),一層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１８號五樓,920.0,25.4,36.17,74.62%,華廈(10層含以下有電梯),五層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１５號四樓,820.0,22.7,36.17,74.62%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１００之２９號三樓之３,195.0,23.0,8.49,79.34%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之２８號三樓之２,173.0,23.2,7.47,78.30%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
前厝４６之８號,700.0,16.6,42.09,65.86%,華廈(10層含以下有電梯),一層/三層,土:1 建:1車:1,2房2廳2衛,有,有,111
下堡１００之２９號三樓之２,175.0,23.4,7.47,78.30%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之１７號三樓,300.0,17.1,17.49,64.75%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,1房1廳1衛,有,無,111
盤果路６９號三樓,900.0,24.0,37.44,73.70%,公寓(5樓含以下無電梯),三層/四層,土:1 建:1車:0,3房2廳2衛,無,無,111
榜林６之１５號二樓,835.0,23.1,36.17,74.62%,華廈(10層含以下有電梯),二層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１６號五樓,825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),五層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１６號四樓,825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
湖下３０１之１號四樓,580.0,25.1,23.14,73.64%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,2房1廳1衛,有,有,111
榜林６之１６號三樓,820.0,23.1,35.48,75.70%,華廈(10層含以下有電梯),三層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１００之２５號三樓,175.0,18.8,9.31,85.05%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
西浦頭７５之５號二樓,605.0,20.8,29.08,82.75%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
榜林６之１７號四樓,825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１００之２３號,170.0,19.5,8.73,84.07%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
西堡３９之１１號,430.0,22.0,19.52,77.32%,華廈(10層含以下有電梯),一層/五層,土:1 建:1車:0,2房1廳1衛,有,有,111
瓊安路１３０８號五樓,620.0,21.6,31.13,74.82%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
瓊安路１３０６號二樓之２,600.0,19.7,32.8,73.04%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
頂堡５之９號二樓,820.0,19.1,42.93,59.88%,華廈(10層含以下有電梯),二層/六層,土:1 建:1車:0,3房1廳2衛,有,有,111
榜林６之１６號,875.0,24.7,35.48,75.70%,華廈(10層含以下有電梯),一層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１２０號二樓之２,530.0,22.7,23.33,72.54%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
下堡１２０號四樓之５,660.0,22.5,29.28,67.21%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
瓊安路１３００號五樓,750.0,24.5,30.56,75.55%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
下堡２２９號三樓,464.0,18.7,24.78,76.62%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房1廳1衛,有,無,111
下堡１００之２８號二樓之２,170.0,22.8,7.47,78.30%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
仁愛新６６之３號二樓,470.0,24.8,18.93,85.81%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,2房1廳1衛,無,無,111
下堡１００之２８號三樓之１,175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之２８號三樓之３,195.0,23.0,8.49,79.34%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之２９號三樓,205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
安岐２３８之５號,598.0,19.8,30.2,85.04%,華廈(10層含以下有電梯),一層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
安岐２３８之３號三樓,608.0,17.6,34.45,78.21%,華廈(10層含以下有電梯),三層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
安岐２３８之５號四樓,630.0,19.3,32.69,78.56%,華廈(10層含以下有電梯),四層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
安岐２３８之３號五樓,598.0,17.4,34.34,78.14%,華廈(10層含以下有電梯),五層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
下堡１００之２８號三樓,205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
安岐２３８之３號四樓,580.0,16.9,34.34,78.14%,華廈(10層含以下有電梯),四層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
下堡１２０之２號,390.0,22.5,17.87,68.87%,華廈(10層含以下有電梯),一層/五層,土:1 建:1車:1,2房1廳2衛,無,有,111
安岐２３８之５號三樓,618.0,18.9,32.69,78.56%,華廈(10層含以下有電梯),三層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
安岐２３８之５號二樓,638.0,19.5,32.69,78.56%,華廈(10層含以下有電梯),二層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
安岐２３８之５號五樓,646.0,19.8,32.69,78.56%,華廈(10層含以下有電梯),五層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
安岐２３８之３號,655.0,20.9,31.29,85.56%,華廈(10層含以下有電梯),一層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
嚨口３５號二樓,235.0,16.8,14.01,81.96%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,有,無,111
安岐２３８之３號二樓,638.0,18.5,34.45,78.21%,華廈(10層含以下有電梯),二層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
頂堡３０１號,620.0,15.7,39.38,77.38%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,無,無,111
西浦頭７５之６號,535.0,20.4,26.23,89.68%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
瓊安路１３０６號五樓之２,655.0,21.4,32.8,73.04%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
下堡１００之２８號二樓之１,175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
榜林３８之９號三樓,220.0,25.4,8.65,79.01%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,1房0廳1衛,無,無,111
西堡５之６號五樓,610.0,18.7,32.65,69.68%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西堡５之６號四樓,600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西堡５之６號三樓,600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西堡５之６號二樓,600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西山１７號四樓,630.0,22.1,28.56,75.13%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,有,有,111
林湖路５０９號,870.0,18.4,47.2,85.67%,華廈(10層含以下有電梯),"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,有,有,111
湖下２３之２號,200.0,15.9,12.61,74.93%,公寓(5樓含以下無電梯),一層/三層,土:1 建:2車:0,1房1廳1衛,無,無,111
湖下２３之２號二樓,200.0,15.1,13.25,71.32%,公寓(5樓含以下無電梯),二層/三層,土:1 建:2車:0,1房1廳1衛,無,無,111
湖下５之６號三樓,645.0,23.7,27.16,85.46%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,有,無,111
瓊安路１３０６號三樓之１,600.0,20.6,29.17,73.86%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
下堡２２７號,705.0,18.1,38.88,91.28%,公寓(5樓含以下無電梯),"一層,地下一層/三層",土:1 建:1車:0,2房1廳2衛,無,無,111
安岐２３０號二樓,575.0,20.8,27.7,87.89%,公寓(5樓含以下無電梯),二層/三層,土:2 建:1車:0,3房2廳2衛,無,無,111
安岐２３０號三樓,575.0,20.8,27.7,87.89%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,3房2廳2衛,無,無,111
瓊安路１３０６號四樓之１,645.0,20.6,33.48,73.86%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
瓊安路１３０６號五樓之１,670.0,21.4,33.48,73.86%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
頂埔下６９號三樓,770.0,21.7,35.47,84.35%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房1廳3衛,無,無,111
下埔下３６８號三樓,810.0,22.0,36.84,77.74%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,3房2廳2衛,有,無,111
埔邊１２３之２號二樓,230.0,24.1,9.54,73.33%,公寓(5樓含以下無電梯),二層/三層,土:4 建:1車:0,,無,無,111
下埔下３６８號,810.0,23.5,34.53,82.95%,公寓(5樓含以下無電梯),一層/三層,土:1 建:2車:0,3房2廳2衛,有,無,111
下埔下３６８號二樓,740.0,20.1,36.84,77.74%,公寓(5樓含以下無電梯),二層/三層,土:1 建:2車:0,3房2廳2衛,有,無,111
瓊安路１３０６號二樓之１,580.0,19.9,29.17,73.86%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
東洲７６號二樓,950.0,22.1,43.03,57.44%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,有,有,111
頂堡３０６號五樓,500.0,16.4,30.45,62.87%,華廈(10層含以下有電梯),五層/五層,土:5 建:1車:1,2房2廳2衛,有,有,111
東坑５１號二樓,650.0,22.7,28.63,83.17%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
湖下２１１－１０號二樓,575.0,24.5,23.48,75.24%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,2房2廳1衛,有,有,111
仁愛新９２號三樓,370.0,18.9,19.58,92.60%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,4房0廳4衛,無,無,111
頂堡３０６號三樓,480.0,15.8,30.45,62.87%,華廈(10層含以下有電梯),三層/五層,土:5 建:1車:1,2房2廳2衛,有,有,111
湖下２１１－１１號,570.0,26.4,21.56,81.12%,公寓(5樓含以下無電梯),一層/五層,土:1 建:1車:0,2房2廳1衛,無,無,111
瓊安路１３００號二樓,698.0,21.6,34.87,75.55%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
安岐２０８號三樓,620.0,23.1,26.79,85.04%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房1廳2衛,無,無,111
湖下３８０之１７號,430.0,23.6,18.21,77.61%,華廈(10層含以下有電梯),一層/四層,土:2 建:1車:0,2房1廳1衛,有,有,111
頂堡３０６號二樓,488.0,18.9,25.78,74.96%,華廈(10層含以下有電梯),二層/五層,土:5 建:1車:1,2房1廳2衛,無,有,111
瓊安路１３０６號四樓之２,620.0,20.2,32.8,73.04%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
頂埔下２９號三樓之５,300.0,28.4,10.58,64.24%,華廈(10層含以下有電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,有,有,111
頂堡３０７號二樓,680.0,16.5,41.33,59.13%,華廈(10層含以下有電梯),二層/五層,土:5 建:1車:1,3房2廳2衛,有,有,111
下堡１００之２９號二樓之３,240.0,28.3,8.49,79.34%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
湖下２１１－８號四樓,550.0,23.4,23.48,75.24%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,2房2廳1衛,有,有,111
瓊安路１３０６號三樓之２,583.0,20.5,28.49,73.04%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
湖下２１１－８號,570.0,26.2,21.77,81.10%,華廈(10層含以下有電梯),一層/五層,土:1 建:1車:1,2房2廳1衛,有,有,111
瓊安路１３００號四樓,625.0,20.5,30.56,75.55%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
頂埔下２３之２號三樓,440.0,18.7,23.55,81.16%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,2房1廳1衛,無,無,111
中堡８之３號三樓,560.0,15.7,35.61,69.01%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:1,3房2廳2衛,有,有,111
安岐１３２號二樓,800.0,17.2,46.47,61.46%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:1,3房2廳2衛,無,無,111
東坑１１之２號三樓,550.0,22.2,24.72,81.27%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
頂堡３０７號,700.0,15.5,45.06,59.18%,華廈(10層含以下有電梯),一層/五層,土:5 建:1車:3,3房2廳2衛,有,有,111
頂堡３０７號四樓,700.0,17.1,40.95,59.13%,華廈(10層含以下有電梯),四層/五層,土:5 建:1車:1,3房2廳2衛,有,有,111
頂堡３０７號三樓,700.0,17.1,40.95,59.13%,華廈(10層含以下有電梯),三層/五層,土:5 建:1車:1,3房2廳2衛,有,有,111
林湖路５０９號三樓,700.0,21.9,31.9,77.45%,華廈(10層含以下有電梯),三層/三層,土:2 建:1車:0,3房2廳2衛,無,有,111
瓊安路１３０８號四樓,558.0,19.1,31.13,74.82%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
頂堡３０８號三樓,660.0,16.3,40.5,59.13%,華廈(10層含以下有電梯),三層/五層,土:5 建:1車:2,3房2廳2衛,有,有,111
頂堡３０８號,700.0,17.3,40.49,59.15%,華廈(10層含以下有電梯),一層/五層,土:5 建:1車:2,3房2廳2衛,有,有,111
頂堡３０８號四樓,660.0,16.3,40.5,59.13%,華廈(10層含以下有電梯),四層/五層,土:5 建:1車:2,3房2廳2衛,有,有,111
頂堡３０９號三樓,500.0,16.6,30.14,62.88%,華廈(10層含以下有電梯),三層/五層,土:5 建:1車:1,2房2廳2衛,有,有,111
頂堡３０９號四樓,480.0,15.9,30.14,62.88%,華廈(10層含以下有電梯),四層/五層,土:5 建:1車:1,2房2廳2衛,有,有,111
頂堡３０６號四樓,480.0,18.6,25.78,62.87%,華廈(10層含以下有電梯),四層/五層,土:5 建:1車:0,2房2廳2衛,有,有,111
頂堡３０９號,500.0,19.3,25.89,62.97%,華廈(10層含以下有電梯),一層/五層,土:5 建:1車:0,2房2廳2衛,有,有,111
頂堡３０８號五樓,680.0,18.5,36.74,59.14%,華廈(10層含以下有電梯),五層/五層,土:5 建:1車:0,3房2廳2衛,有,有,111
頂堡３０９號二樓,430.0,16.6,25.85,62.88%,華廈(10層含以下有電梯),二層/五層,土:5 建:1車:0,2房2廳2衛,有,有,111
頂堡３０９號五樓,480.0,18.6,25.85,62.88%,華廈(10層含以下有電梯),五層/五層,土:5 建:1車:0,2房2廳2衛,有,有,111
頂堡３０８號二樓,650.0,17.7,36.74,59.14%,華廈(10層含以下有電梯),二層/五層,土:5 建:1車:0,3房2廳2衛,有,有,111
湖下２１１－９號四樓,555.0,23.9,23.26,75.19%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,2房2廳1衛,有,有,111
西山５０號五樓,640.0,18.7,34.19,71.88%,華廈(10層含以下有電梯),五層/五層,土:2 建:1車:0,3房2廳2衛,無,有,111
西山５６號四樓,545.0,19.1,28.53,67.93%,華廈(10層含以下有電梯),四層/四層,土:2 建:1車:0,2房1廳2衛,無,有,111
頂堡５之１０號,765.0,17.9,42.66,59.66%,華廈(10層含以下有電梯),一層/六層,土:1 建:1車:0,3房2廳2衛,有,有,111
頂堡５之１１號二樓,810.0,17.6,46.83,59.64%,華廈(10層含以下有電梯),二層/六層,土:1 建:1車:1,3房2廳2衛,有,有,111
頂堡３０７號五樓,700.0,16.2,43.2,59.13%,華廈(10層含以下有電梯),五層/五層,土:5 建:1車:1,3房2廳2衛,有,有,111
頂埔下２９號三樓之７,200.0,18.9,10.58,64.24%,華廈(10層含以下有電梯),三層/三層,土:1 建:1車:0,1房0廳1衛,有,有,111
西山５６號二樓,642.0,18.3,50.09,67.93%,華廈(10層含以下有電梯),二層/四層,土:2 建:1車:4,2房2廳1衛,無,有,111
昔果山５７號,430.0,22.7,18.95,92.16%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,2房1廳1衛,無,無,111
林湖路５１３號,830.0,24.1,34.51,81.35%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
中堡５之９號二樓,530.0,19.0,27.92,82.08%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
瓊安路１３０８號,563.0,20.6,27.39,74.94%,華廈(10層含以下有電梯),一層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
林湖路５１１號,980.0,20.8,47.14,85.66%,公寓(5樓含以下無電梯),"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,無,無,111
頂埔下２９號二樓之１,220.0,20.8,10.58,64.24%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,1房0廳1衛,無,有,110
下堡１００之１７號三樓,260.0,14.9,17.49,64.75%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,1房1廳1衛,有,無,110
湖下２１１－１０號四樓,520.0,22.1,23.48,75.24%,公寓(5樓含以下無電梯),四層/五層,土:1 建:1車:0,2房2廳1衛,無,無,110
東坑１２號,700.0,20.4,34.34,78.68%,華廈(10層含以下有電梯),一層/五層,土:2 建:1車:0,3房1廳2衛,無,有,110
湖下２１１－８號五樓,530.0,22.6,23.48,75.24%,公寓(5樓含以下無電梯),五層/五層,土:1 建:1車:0,2房2廳1衛,無,無,110
埔邊１７之９號二樓,260.0,21.2,12.26,46.52%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,1房0廳1衛,無,有,110
瓊安路１３０８號三樓,520.0,19.4,26.82,74.82%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房2廳2衛,無,有,110
下埔下１２之２號二樓,660.0,21.8,30.33,79.41%,公寓(5樓含以下無電梯),二層/三層,土:1 建:2車:0,3房2廳2衛,無,無,110
頂堡５之１２號,830.0,17.9,47.07,59.90%,華廈(10層含以下有電梯),一層/六層,土:1 建:1車:1,3房2廳2衛,有,有,110
湖下３８０之１６號四樓,425.0,22.3,19.05,73.29%,華廈(10層含以下有電梯),四層/四層,土:2 建:1車:0,2房1廳1衛,有,有,110
下埔下１２之２號三樓,700.0,23.1,30.33,79.41%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,3房2廳2衛,無,無,110
頂堡６之７號,385.0,29.0,13.29,85.36%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,1房1廳1衛,無,無,110
昔果山１６之３號,580.0,19.1,30.29,85.76%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,110
東洲８之８號３樓,600.0,23.4,25.69,79.40%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,3房1廳2衛,無,無,110
下堡１００之１０號,710.0,16.8,42.33,73.81%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,有,無,110
仁愛新１０３號三樓,625.0,21.7,28.8,83.96%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,110
瓊安路１３０２號五樓,600.0,20.0,30.01,71.86%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:0,3房2廳2衛,無,有,110
安岐３５２號二樓,562.0,21.2,26.5,72.84%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,3房2廳2衛,無,有,110
下堡２２９號,480.0,11.6,41.45,88.01%,公寓(5樓含以下無電梯),"一層,地下一層/三層",土:1 建:1車:0,2房2廳2衛,有,無,110
頂堡２５２號三樓,640.0,21.5,29.75,86.54%,華廈(10層含以下有電梯),三層/三層,土:2 建:1車:0,3房2廳2衛,無,有,110
安岐２７０之３號二樓,555.0,20.3,27.34,82.60%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,有,無,110
下埔下６之３號三樓,400.0,23.9,16.71,80.90%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房1廳1衛,無,無,110
湖下２１１－９號二樓,470.0,20.2,23.26,75.19%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,2房2廳1衛,無,有,110
林湖路５０９號二樓,660.0,20.7,31.9,77.45%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,有,110
下埔下６之５號二樓,405.0,24.2,16.76,80.95%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,2房1廳1衛,無,無,110
埔邊１７之７號二樓,253.0,20.6,12.3,46.69%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,,無,有,110
湖下２１１－１０號三樓,477.0,20.3,23.48,75.24%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,2房2廳1衛,有,有,110
湖下２１１－８號二樓,480.0,20.4,23.48,75.24%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,2房2廳1衛,無,有,110
湖下２１１－９號三樓,477.0,20.5,23.26,75.19%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,2房2廳1衛,有,有,110
前厝４６之１０號,800.0,15.0,53.19,66.06%,華廈(10層含以下有電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,有,有,110
下埔下６之５號三樓,400.0,23.9,16.76,80.95%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房1廳1衛,無,無,110
湖下２２３之７號,850.0,15.6,54.45,92.87%,華廈(10層含以下有電梯),一層/一層,土:5 建:1車:0,3房1廳2衛,無,有,110
湖下３８０之１７號四樓,450.0,23.8,18.89,74.83%,華廈(10層含以下有電梯),四層/四層,土:2 建:1車:0,2房1廳1衛,有,有,110
下堡１００之２９號二樓之３,507.0,21.8,23.3,78.63%,公寓(5樓含以下無電梯),二層/三層,土:1 建:3車:0,1房1廳1衛,無,無,110
環島西路二段７０９巷２２８號三樓,500.0,17.2,29.04,76.61%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房2廳2衛,無,有,110
東洲７６之１號二樓,750.0,17.8,42.22,58.09%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,有,有,110
榜林４２號三樓,620.0,20.9,29.74,81.29%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,3房2廳2衛,無,無,110
西山５１號四樓,425.0,18.1,23.45,69.06%,華廈(10層含以下有電梯),四層/五層,土:2 建:1車:0,2房2廳2衛,無,有,110
下堡２２６號三樓,425.0,17.2,24.78,76.62%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房2廳2衛,有,無,110
湖下２３之３號三樓,360.0,15.2,23.65,76.77%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,2房1廳1衛,無,無,110
埔後３２之１號三樓之３,210.0,21.9,9.57,79.58%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,110
西山５２號四樓,428.0,18.6,23.02,70.35%,華廈(10層含以下有電梯),四層/五層,土:2 建:1車:0,2房2廳2衛,無,有,110
湖下２３之３號,360.0,16.0,22.44,80.94%,公寓(5樓含以下無電梯),一層/三層,土:1 建:2車:0,2房1廳1衛,無,無,110
湖下２３之３號二樓,360.0,15.2,23.65,76.77%,公寓(5樓含以下無電梯),二層/三層,土:1 建:2車:0,2房1廳1衛,無,無,110
